mes,linea,ramal,estacion,latitud,longitud
11/2018,"Trenes del Interior",Córdoba,Pilar,-31.682598,-63.88529
11/2018,"Trenes del Interior",Córdoba,Oncativo,-31.911760,-63.685212
11/2018,"Trenes del Interior",Córdoba,Oliva,-32.041476,-63.571509
11/2018,"Trenes del Interior",Córdoba,Manfredi,-31.842975,-63.745394
11/2018,"Trenes del Interior",Córdoba,"Laguna Larga",-31.777300,-63.802725
11/2018,"Trenes del Interior",Córdoba,"James Craik",-32.164472,-63.463593
11/2018,"Trenes del Interior",Córdoba,Córdoba,-31.420406,-64.174938
11/2018,"Trenes del Interior",Chorotis,Zuberbuhler,-27.715486,-61.36511
11/2018,"Trenes del Interior",Chorotis,"Venados Grandes",-27.816172,-61.382146
11/2018,"Trenes del Interior",Chorotis,"Roque Sáenz Peña",-26.794485,-60.441517
11/2018,"Trenes del Interior",Chorotis,"Pozo del Indio",-27.01282,-61.018319
11/2018,"Trenes del Interior",Chorotis,"Pampa del Cielo",-27.643335,-61.352920
11/2018,"Trenes del Interior",Chorotis,Napenay,-26.731725,-60.618859
11/2018,"Trenes del Interior",Chorotis,"Las Breñas",-27.089828,-61.084285
11/2018,"Trenes del Interior",Chorotis,"La Mascota",-26.758323,-60.543446
11/2018,"Trenes del Interior",Chorotis,Itin,-27.486747,-61.326677
11/2018,"Trenes del Interior",Chorotis,"Hermoso Campo",-27.610276,-61.347379
11/2018,"Trenes del Interior",Chorotis,"Gral. Pinedo",-27.317973,-61.280429
11/2018,"Trenes del Interior",Chorotis,"Fortín Las Chuñas",-26.884157,-60.908642
11/2018,"Trenes del Interior",Chorotis,Corzuela,-26.955942,-60.969664
11/2018,"Trenes del Interior",Chorotis,Chorotis,-27.916118,-61.399062
11/2018,"Trenes del Interior",Chorotis,Charata,-27.215565,-61.192214
11/2018,"Trenes del Interior",Chorotis,"Campo Largo",-26.805005,-60.841501
11/2018,"Trenes del Interior",Chorotis,"Avia Terai",-26.691096,-60.733890
11/2018,"Trenes del Interior","Alta Córdoba","Santa María",-31.277796,-64.462617
11/2018,"Trenes del Interior","Alta Córdoba","San Roque",-31.346083,-64.460729
11/2018,"Trenes del Interior","Alta Córdoba","Rod. del Busto",-31.364044,-64.220419
11/2018,"Trenes del Interior","Alta Córdoba",Narvaja,-31.336126,-64.289426
11/2018,"Trenes del Interior","Alta Córdoba","La Tablada",-31.352715,-64.236777
11/2018,"Trenes del Interior","Alta Córdoba","La Calera",-31.343407,-64.338516
11/2018,"Trenes del Interior","Alta Córdoba","Hospital Neonatal",-31.369282,-64.211218
11/2018,"Trenes del Interior","Alta Córdoba",Dumesnill,-31.326517,-64.332082
11/2018,"Trenes del Interior","Alta Córdoba",Cosquín,-31.243395,-64.467821
11/2018,"Trenes del Interior","Alta Córdoba",Cassaffousth,-31.373175,-64.441788
11/2018,"Trenes del Interior","Alta Córdoba","Casa Bamba",-31.346608,-64.403869
11/2018,"Trenes del Interior","Alta Córdoba","Bialet Massé",-31.307677,-64.463275
11/2018,"Trenes del Interior","Alta Córdoba",Argüello,-31.339730,-64.256672
11/2018,"Trenes del Interior","Alta Córdoba","Alta Córdoba",-31.398290,-64.179600
11/2018,"Tren de la Costa","Tren de la Costa","San Isidro R",-34.465535,-58.507941
11/2018,"Tren de la Costa","Tren de la Costa","San Fernando R",-34.437536,-58.553991
11/2018,"Tren de la Costa","Tren de la Costa","Punta Chica",-34.450658,-58.523698
11/2018,"Tren de la Costa","Tren de la Costa","Marina Nueva",-34.444552,-58.539051
11/2018,"Tren de la Costa","Tren de la Costa",Maipú,-34.513663,-58.488105
11/2018,"Tren de la Costa","Tren de la Costa",Libertador,-34.501485,-58.481851
11/2018,"Tren de la Costa","Tren de la Costa","Las Barrancas",-34.472213,-58.493421
11/2018,"Tren de la Costa","Tren de la Costa","Juan Anchorena",-34.488931,-58.481222
11/2018,"Tren de la Costa","Tren de la Costa",Delta,-34.418657,-58.576697
11/2018,"Tren de la Costa","Tren de la Costa","Canal San Fernando",-34.429911,-58.562921
11/2018,"Tren de la Costa","Tren de la Costa",Borges,-34.508151,-58.484553
11/2018,Sarmiento,Moreno,"Villa Luro",-34.636249,-58.502131
11/2018,Sarmiento,Moreno,"S.A. de Padua",-34.665425,-58.697997
11/2018,Sarmiento,Moreno,"Ramos Mejía",-34.640384,-58.563947
11/2018,Sarmiento,Moreno,"Paso del Rey",-34.658266,-58.761941
11/2018,Sarmiento,Moreno,Once,-34.608591,-58.407559
11/2018,Sarmiento,Moreno,Morón,-34.648222,-58.619813
11/2018,Sarmiento,Moreno,Moreno,-34.650443,-58.789597
11/2018,Sarmiento,Moreno,Merlo,-34.664469,-58.727685
11/2018,Sarmiento,Moreno,Liniers,-34.638872,-58.526340
11/2018,Sarmiento,Moreno,Ituzaingó,-34.659650,-58.666387
11/2018,Sarmiento,Moreno,Haedo,-34.644533,-58.591853
11/2018,Sarmiento,Moreno,Floresta,-34.632375,-58.480891
11/2018,Sarmiento,Moreno,Flores,-34.627850,-58.466176
11/2018,Sarmiento,Moreno,Ciudadela,-34.639922,-58.541122
11/2018,Sarmiento,Moreno,Castelar,-34.652027,-58.642118
11/2018,Sarmiento,Moreno,Caballito,-34.619244,-58.443652
11/2018,Sarmiento,Mercedes,"Univ. Lujan",-34.577424,-59.087407
11/2018,Sarmiento,Mercedes,"P. Marin",-34.622734,-58.893542
11/2018,Sarmiento,Mercedes,Olivera,-34.627927,-59.255398
11/2018,Sarmiento,Mercedes,Moreno,-34.651061,-58.787730
11/2018,Sarmiento,Mercedes,Mercedes,-34.657493,-59.433666
11/2018,Sarmiento,Mercedes,Lujan,-34.577686,-59.105092
11/2018,Sarmiento,Mercedes,"Lezica y Torrezuri",-34.584605,-59.056784
11/2018,Sarmiento,Mercedes,"Las Malvinas",-34.616072,-58.922084
11/2018,Sarmiento,Mercedes,"La Reja",-34.639717,-58.828458
11/2018,Sarmiento,Mercedes,"La Fraternidad",-34.598400,-58.997844
11/2018,Sarmiento,Mercedes,Jáuregui,-34.600627,-59.173487
11/2018,Sarmiento,Mercedes,"Gral Rodriguez",-34.608871,-58.952925
11/2018,Sarmiento,Mercedes,Gowland,-34.647819,-59.352839
11/2018,Sarmiento,Mercedes,"F. Alvarez",-34.632204,-58.855318
11/2018,Sarmiento,Lobos,Zapiola,-35.058302,-59.041885
11/2018,Sarmiento,Lobos,Zamudio,-34.857899,-58.892194
11/2018,Sarmiento,Lobos,Sperati,-35.002105,-58.999854
11/2018,Sarmiento,Lobos,Merlo,-34.664797,-58.726143
11/2018,Sarmiento,Lobos,"Mariano Acosta",-34.724325,-58.792954
11/2018,Sarmiento,Lobos,"Marcos Paz",-34.783055,-58.836545
11/2018,Sarmiento,Lobos,Lobos,-35.185336,-59.092792
11/2018,Sarmiento,Lobos,"Las Heras",-34.927939,-58.944429
11/2018,Sarmiento,Lobos,"Km 34",-34.680174,-58.760240
11/2018,Sarmiento,Lobos,Hornos,-34.892302,-58.917861
11/2018,Sarmiento,Lobos,Ferrari,-34.706078,-58.779432
11/2018,Sarmiento,Lobos,"Empalme Lobos",-35.151487,-59.090740
11/2018,"San Martín",Pilar,"William Morris",-34.578464,-58.656579
11/2018,"San Martín",Pilar,"Villa del Parque",-34.601369,-58.493531
11/2018,"San Martín",Pilar,"Villa Astolfi",-34.478617,-58.877037
11/2018,"San Martín",Pilar,"Sol y Verde",-34.503989,-58.797603
11/2018,"San Martín",Pilar,"Santos Lugares",-34.603674,-58.540752
11/2018,"San Martín",Pilar,"San Miguel",-34.544655,-58.712376
11/2018,"San Martín",Pilar,"Sáenz Peña",-34.603170,-58.527898
11/2018,"San Martín",Pilar,Pilar,-34.468743,-58.907906
11/2018,"San Martín",Pilar,Muñiz,-34.551366,-58.703314
11/2018,"San Martín",Pilar,"José C Paz",-34.520600,-58.746797
11/2018,"San Martín",Pilar,Hurlingham,-34.591055,-58.632419
11/2018,"San Martín",Pilar,"El Palomar",-34.604924,-58.595873
11/2018,"San Martín",Pilar,Devoto,-34.602642,-58.512213
11/2018,"San Martín",Pilar,Derqui,-34.491083,-58.838039
11/2018,"San Martín",Pilar,Caseros,-34.604586,-58.564491
11/2018,"San Martín",Pilar,"Bella Vista",-34.563738,-58.684776
11/2018,"San Martín",Completo,"William Morris",-34.578464,-58.656579
11/2018,"San Martín",Completo,"Villa del Parque",-34.601369,-58.493531
11/2018,"San Martín",Completo,"Villa Astolfi",-34.478617,-58.877037
11/2018,"San Martín",Completo,"Sol y Verde",-34.503989,-58.797603
11/2018,"San Martín",Completo,"Santos Lugares",-34.603674,-58.540752
11/2018,"San Martín",Completo,"San Miguel",-34.544655,-58.712376
11/2018,"San Martín",Completo,"Sáenz Peña",-34.603170,-58.527898
11/2018,"San Martín",Completo,Pilar,-34.468743,-58.907906
11/2018,"San Martín",Completo,Muñiz,-34.551366,-58.703314
11/2018,"San Martín",Completo,Manzanares,-34.452245,-59.006754
11/2018,"San Martín",Completo,"José C Paz",-34.520600,-58.746797
11/2018,"San Martín",Completo,Hurlingham,-34.591055,-58.632419
11/2018,"San Martín",Completo,"El Palomar",-34.604924,-58.595873
11/2018,"San Martín",Completo,Devoto,-34.602642,-58.512213
11/2018,"San Martín",Completo,Derqui,-34.491083,-58.838039
11/2018,"San Martín",Completo,Caseros,-34.604586,-58.564491
11/2018,"San Martín",Completo,Cabred,-34.488015,-59.076027
11/2018,"San Martín",Completo,"Bella Vista",-34.563738,-58.684776
11/2018,"San Martín",Cabred,Pilar,-34.468613,-58.908312
11/2018,"San Martín",Cabred,Manzanares,-34.452245,-59.006754
11/2018,"San Martín",Cabred,Cabred,-34.488015,-59.076027
11/2018,Roca,Universitario,Policlínico,-34.925305,-57.921304
11/2018,Roca,Universitario,Periodismo,-34.912205,-57.924264
11/2018,Roca,Universitario,Medicina,-34.909051,-57.927844
11/2018,Roca,Universitario,"La Plata",-34.903621,-57.950460
11/2018,Roca,Universitario,Informática,-34.903364,-57.935732
11/2018,Roca,Universitario,"Diagonal 73",-34.920327,-57.919043
11/2018,Roca,Universitario,Arquitectura,-34.904940,-57.943142
11/2018,Roca,Saladillo,"Vicente Casares",-34.962181,-58.647847
11/2018,Roca,Saladillo,Uribelarrea,-35.115484,-58.898467
11/2018,Roca,Saladillo,"Tristán Suárez",-34.889202,-58.567738
11/2018,Roca,Saladillo,Temperley,-34.775924,-58.396357
11/2018,Roca,Saladillo,"Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,Saladillo,"Salvador María",-35.302987,-59.167459
11/2018,Roca,Saladillo,Saladillo,-35.635656,-59.784061
11/2018,Roca,Saladillo,"Roque Perez",-35.403409,-59.334385
11/2018,Roca,Saladillo,"Ricardo Levene",-35.021617,-58.723773
11/2018,Roca,Saladillo,"Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,Saladillo,Lobos,-35.184660,-59.092795
11/2018,Roca,Saladillo,Llavallol,-34.797055,-58.428937
11/2018,Roca,Saladillo,Ezeiza,-34.853960,-58.522655
11/2018,Roca,Saladillo,"Del carril",-35.510026,-59.511211
11/2018,Roca,Saladillo,Constitución,-34.630170,-58.380583
11/2018,Roca,Saladillo,Cazon,-35.577013,-59.661584
11/2018,Roca,Saladillo,Cañuelas,-35.059225,-58.754177
11/2018,Roca,Monte,"Vicente Casares",-34.962181,-58.647847
11/2018,Roca,Monte,"Tristán Suárez",-34.889202,-58.567738
11/2018,Roca,Monte,Temperley,-34.775924,-58.396357
11/2018,Roca,Monte,"Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,Monte,"Ricardo Levene",-35.021617,-58.723773
11/2018,Roca,Monte,"Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,Monte,Monte,-35.436653,-58.817665
11/2018,Roca,Monte,Llavallol,-34.797055,-58.428937
11/2018,Roca,Monte,"La Noria",-35.165138,-58.788185
11/2018,Roca,Monte,Ezeiza,-34.853960,-58.522655
11/2018,Roca,Monte,Constitución,-34.630170,-58.380583
11/2018,Roca,Monte,"Carlos Spegazzini",-34.909906,-58.594264
11/2018,Roca,Monte,Cañuelas,-35.059192,-58.754217
11/2018,Roca,Monte,Abbot,-35.281420,-58.802939
11/2018,Roca,Lobos,"Vicente Casares",-34.962181,-58.647847
11/2018,Roca,Lobos,Uribelarrea,-35.115484,-58.898467
11/2018,Roca,Lobos,"Tristán Suárez",-34.889202,-58.567738
11/2018,Roca,Lobos,Temperley,-34.775924,-58.396357
11/2018,Roca,Lobos,"Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,Lobos,"Ricardo Levene",-35.021617,-58.723773
11/2018,Roca,Lobos,"Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,Lobos,Lobos,-35.184660,-59.092795
11/2018,Roca,Lobos,Llavallol,-34.797055,-58.428937
11/2018,Roca,Lobos,Ezeiza,-34.853960,-58.522655
11/2018,Roca,Lobos,"Emp Lobos",-35.151715,-59.091161
11/2018,Roca,Lobos,Constitución,-34.630170,-58.380583
11/2018,Roca,Lobos,Cañuelas,-35.059225,-58.754177
11/2018,Roca,"La Plata",Wilde,-34.697589,-58.311193
11/2018,Roca,"La Plata","Villa Elisa",-34.849586,-58.075185
11/2018,Roca,"La Plata","Villa Domínico",-34.691535,-58.325349
11/2018,Roca,"La Plata",Tolosa,-34.890954,-57.968098
11/2018,Roca,"La Plata",Sarandí,-34.678747,-58.344962
11/2018,Roca,"La Plata","Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,"La Plata",Ringuelet,-34.881387,-57.996062
11/2018,Roca,"La Plata",Quilmes,-34.724646,-58.260659
11/2018,Roca,"La Plata",Plátanos,-34.782335,-58.170759
11/2018,Roca,"La Plata",Pereyra,-34.836630,-58.094540
11/2018,Roca,"La Plata","La Plata",-34.903894,-57.950174
11/2018,Roca,"La Plata",Hudson,-34.791119,-58.155269
11/2018,Roca,"La Plata",Gonnet,-34.879841,-58.010785
11/2018,Roca,"La Plata",Ezpeleta,-34.751850,-58.234186
11/2018,Roca,"La Plata","Don Bosco",-34.703324,-58.296171
11/2018,Roca,"La Plata",Constitución,-34.630170,-58.380583
11/2018,Roca,"La Plata","City Bell",-34.865723,-58.042049
11/2018,Roca,"La Plata",Bernal,-34.709261,-58.280569
11/2018,Roca,"La Plata",Berazategui,-34.764097,-58.208443
11/2018,Roca,Haedo,Temperley,-34.775744,-58.396376
11/2018,Roca,Haedo,Tablada,-34.693070,-58.528020
11/2018,Roca,Haedo,"Santa Catalina",-34.780420,-58.437337
11/2018,Roca,Haedo,"San Justo",-34.674193,-58.555356
11/2018,Roca,Haedo,"P. Turner",-34.733231,-58.474875
11/2018,Roca,Haedo,"Km 34",-34.743459,-58.465016
11/2018,Roca,Haedo,"Juan XXIII",-34.771363,-58.444109
11/2018,Roca,Haedo,"Ingeniero S. Brian",-34.658045,-58.573037
11/2018,Roca,Haedo,"Hospital Español",-34.786279,-58.407287
11/2018,Roca,Haedo,Haedo,-34.644965,-58.592215
11/2018,Roca,Haedo,"Agustín de Elía",-34.709977,-58.505918
11/2018,Roca,Gutierrez,Zeballos,-34.810637,-58.259416
11/2018,Roca,Gutierrez,Temperley,-34.775744,-58.396376
11/2018,Roca,Gutierrez,"Santa Sofía",-34.825027,-58.213265
11/2018,Roca,Gutierrez,"Rafael Calzada",-34.796627,-58.359383
11/2018,Roca,Gutierrez,"José Mármol",-34.791912,-58.381152
11/2018,Roca,Gutierrez,Gutiérrez,-34.833206,-58.188026
11/2018,Roca,Gutierrez,"Florencio Varela",-34.811122,-58.274267
11/2018,Roca,Gutierrez,"Dante Ardigó",-34.808388,-58.304829
11/2018,Roca,Gutierrez,Claypole,-34.801134,-58.338448
11/2018,Roca,Gutierrez,Bosques,-34.819567,-58.230164
11/2018,Roca,Ezeiza,Turdera,-34.795053,-58.407878
11/2018,Roca,Ezeiza,Temperley,-34.775924,-58.396357
11/2018,Roca,Ezeiza,"Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,Ezeiza,"Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,Ezeiza,"Monte Grande",-34.814433,-58.469698
11/2018,Roca,Ezeiza,"Luis Guillón",-34.803217,-58.448550
11/2018,Roca,Ezeiza,"Lomas de Zamora",-34.761031,-58.397312
11/2018,Roca,Ezeiza,Llavallol,-34.797070,-58.429155
11/2018,Roca,Ezeiza,Lanús,-34.707454,-58.390637
11/2018,Roca,Ezeiza,"Hipólito Yrigoyen",-34.653642,-58.378887
11/2018,Roca,Ezeiza,Gerli,-34.685728,-58.382637
11/2018,Roca,Ezeiza,Ezeiza,-34.854084,-58.522815
11/2018,Roca,Ezeiza,"El Jagüel",-34.833227,-58.496165
11/2018,Roca,Ezeiza,Constitución,-34.630170,-58.380583
11/2018,Roca,Ezeiza,Banfield,-34.743610,-58.395424
11/2018,Roca,Chascomus,Temperley,-34.775924,-58.396357
11/2018,Roca,Chascomus,Monasterio,-35.763743,-57.925060
11/2018,Roca,Chascomus,Lezama,-35.873892,-57.895400
11/2018,Roca,Chascomus,Jeppener,-35.277667,-58.198260
11/2018,Roca,Chascomus,Gandara,-35.449787,-58.093731
11/2018,Roca,Chascomus,Doomselar,-35.070175,-58.290624
11/2018,Roca,Chascomus,Constitución,-34.630170,-58.380583
11/2018,Roca,Chascomus,"Cnel Brandsen",-35.167737,-58.232014
11/2018,Roca,Chascomus,Chascomus,-35.579084,-57.982386
11/2018,Roca,Chascomus,Altamirano,-35.361169,-58.151208
11/2018,Roca,Chascomus,"Alejandro Korn",-34.980409,-58.373814
11/2018,Roca,Chascomus,Adela,-35.683905,-57.953978
11/2018,Roca,"Cañuelas Esp","Vicente Casares",-34.962285,-58.648025
11/2018,Roca,"Cañuelas Esp","Unión Ferroviaria",-34.870243,-58.543422
11/2018,Roca,"Cañuelas Esp",Turdera,-34.795053,-58.407878
11/2018,Roca,"Cañuelas Esp","Tristán Suárez",-34.889327,-58.567896
11/2018,Roca,"Cañuelas Esp",Temperley,-34.775924,-58.396357
11/2018,Roca,"Cañuelas Esp","Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,"Cañuelas Esp","Ricardo Levene",-35.021750,-58.723921
11/2018,Roca,"Cañuelas Esp","Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,"Cañuelas Esp","Monte Grande",-34.814433,-58.469698
11/2018,Roca,"Cañuelas Esp","Máximo Paz",-34.936434,-58.620672
11/2018,Roca,"Cañuelas Esp","Luis Guillón",-34.803217,-58.448550
11/2018,Roca,"Cañuelas Esp","Lomas de Zamora",-34.761031,-58.397312
11/2018,Roca,"Cañuelas Esp",Llavallol,-34.797070,-58.429155
11/2018,Roca,"Cañuelas Esp",Lanús,-34.707454,-58.390637
11/2018,Roca,"Cañuelas Esp","Hipólito Yrigoyen",-34.653642,-58.378887
11/2018,Roca,"Cañuelas Esp",Gerli,-34.685728,-58.382637
11/2018,Roca,"Cañuelas Esp",Ezeiza,-34.854084,-58.522815
11/2018,Roca,"Cañuelas Esp","El Jagüel",-34.833227,-58.496165
11/2018,Roca,"Cañuelas Esp",Constitución,-34.630170,-58.380583
11/2018,Roca,"Cañuelas Esp","Carlos Spegazzini",-34.910030,-58.594423
11/2018,Roca,"Cañuelas Esp",Cañuelas,-35.059355,-58.754329
11/2018,Roca,"Cañuelas Esp",Banfield,-34.743610,-58.395424
11/2018,Roca,"Cañuelas Esp","Apeadero Kloosterman",-34.986459,-58.689761
11/2018,Roca,"Cañuelas Esp","Alejandro Petión",-34.977642,-58.674535
11/2018,Roca,Cañuelas,"Vicente Casares",-34.962181,-58.647847
11/2018,Roca,Cañuelas,"Unión Ferroviaria",-34.870119,-58.543263
11/2018,Roca,Cañuelas,Turdera,-34.795031,-58.407661
11/2018,Roca,Cañuelas,"Tristán Suárez",-34.889202,-58.567738
11/2018,Roca,Cañuelas,Temperley,-34.775744,-58.396376
11/2018,Roca,Cañuelas,"Ricardo Levene",-35.021617,-58.723773
11/2018,Roca,Cañuelas,"Monte Grande",-34.814335,-58.469516
11/2018,Roca,Cañuelas,"Máximo Paz",-34.936287,-58.620545
11/2018,Roca,Cañuelas,"Luis Guillón",-34.803119,-58.448366
11/2018,Roca,Cañuelas,Llavallol,-34.797055,-58.428937
11/2018,Roca,Cañuelas,Ezeiza,-34.853837,-58.522495
11/2018,Roca,Cañuelas,"El Jagüel",-34.833102,-58.496007
11/2018,Roca,Cañuelas,"Carlos Spegazzini",-34.909906,-58.594264
11/2018,Roca,Cañuelas,Cañuelas,-35.059225,-58.754177
11/2018,Roca,Cañuelas,"Apeadero Kloosterman",-34.986355,-58.689582
11/2018,Roca,Cañuelas,"Alejandro Petión",-34.977538,-58.674357
11/2018,Roca,"Bosques (T)",Zeballos,-34.810831,-58.257466
11/2018,Roca,"Bosques (T)",Temperley,-34.775924,-58.396357
11/2018,Roca,"Bosques (T)","Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,"Bosques (T)","Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,"Bosques (T)","Rafael Calzada",-34.796673,-58.359172
11/2018,Roca,"Bosques (T)","Lomas de Zamora",-34.761031,-58.397312
11/2018,Roca,"Bosques (T)",Lanús,-34.707454,-58.390637
11/2018,Roca,"Bosques (T)","José Mármol",-34.791958,-58.380941
11/2018,Roca,"Bosques (T)","Hipólito Yrigoyen",-34.653642,-58.378887
11/2018,Roca,"Bosques (T)",Gerli,-34.685728,-58.382637
11/2018,Roca,"Bosques (T)","Florencio Varela",-34.811144,-58.274923
11/2018,Roca,"Bosques (T)","Dante Ardigó",-34.809255,-58.300812
11/2018,Roca,"Bosques (T)",Constitución,-34.630170,-58.380583
11/2018,Roca,"Bosques (T)",Claypole,-34.80118,-58.338236
11/2018,Roca,"Bosques (T)","Bosques (T)",-34.819567,-58.230164
11/2018,Roca,"Bosques (T)",Banfield,-34.743610,-58.395424
11/2018,Roca,"Bosques (Q)",Wilde,-34.697589,-58.311193
11/2018,Roca,"Bosques (Q)","Villa España",-34.774450,-58.194930
11/2018,Roca,"Bosques (Q)","Villa Domínico",-34.691535,-58.325349
11/2018,Roca,"Bosques (Q)",Sourigues,-34.806581,-58.212738
11/2018,Roca,"Bosques (Q)",Sarandí,-34.678747,-58.344962
11/2018,Roca,"Bosques (Q)","Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,"Bosques (Q)",Ranelagh,-34.789372,-58.203192
11/2018,Roca,"Bosques (Q)",Quilmes,-34.724646,-58.260659
11/2018,Roca,"Bosques (Q)",Ezpeleta,-34.751850,-58.234186
11/2018,Roca,"Bosques (Q)","Don Bosco",-34.703324,-58.296171
11/2018,Roca,"Bosques (Q)",Constitución,-34.630170,-58.380583
11/2018,Roca,"Bosques (Q)","Bosques (Q)",-34.819598,-58.230079
11/2018,Roca,"Bosques (Q)",Bernal,-34.709261,-58.280569
11/2018,Roca,"Bosques (Q)",Berazategui,-34.764097,-58.208443
11/2018,Roca,Alvear,"Vicente Casares",-34.962181,-58.647847
11/2018,Roca,Alvear,Uribelarrea,-35.115484,-58.898467
11/2018,Roca,Alvear,"Tristán Suárez",-34.889202,-58.567738
11/2018,Roca,Alvear,Temperley,-34.775924,-58.396357
11/2018,Roca,Alvear,"Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,Alvear,"Salvador María",-35.302987,-59.167459
11/2018,Roca,Alvear,Saladillo,-35.635656,-59.784061
11/2018,Roca,Alvear,"Roque Perez",-35.403409,-59.334385
11/2018,Roca,Alvear,"Ricardo Levene",-35.021617,-58.723773
11/2018,Roca,Alvear,"Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,Alvear,Lobos,-35.184660,-59.092795
11/2018,Roca,Alvear,Llavallol,-34.797055,-58.428937
11/2018,Roca,Alvear,"La Barrancosa",-35.737810,-59.868494
11/2018,Roca,Alvear,"J. M. Micheo",-35.881228,-59.946258
11/2018,Roca,Alvear,"Gral. Alvear",-36.018821,-60.022314
11/2018,Roca,Alvear,Ezeiza,-34.853960,-58.522655
11/2018,Roca,Alvear,"Del carril",-35.510026,-59.511211
11/2018,Roca,Alvear,Constitución,-34.630170,-58.380583
11/2018,Roca,Alvear,Cazon,-35.577013,-59.661584
11/2018,Roca,Alvear,Cañuelas,-35.059225,-58.754177
11/2018,Roca,"Alejandro Korn",Temperley,-34.775924,-58.396357
11/2018,Roca,"Alejandro Korn","Santillán y Kosteki",-34.661389,-58.376832
11/2018,Roca,"Alejandro Korn","Remedios de Escalada",-34.727092,-58.393661
11/2018,Roca,"Alejandro Korn",Longchamps,-34.859587,-58.387198
11/2018,Roca,"Alejandro Korn","Lomas de Zamora",-34.761031,-58.397312
11/2018,Roca,"Alejandro Korn",Lanús,-34.707454,-58.390637
11/2018,Roca,"Alejandro Korn","Hipólito Yrigoyen",-34.653642,-58.378887
11/2018,Roca,"Alejandro Korn",Guernica,-34.917915,-58.380560
11/2018,Roca,"Alejandro Korn",Glew,-34.888650,-58.383702
11/2018,Roca,"Alejandro Korn",Gerli,-34.685728,-58.382637
11/2018,Roca,"Alejandro Korn",Constitución,-34.630170,-58.380583
11/2018,Roca,"Alejandro Korn",Burzaco,-34.825148,-58.391372
11/2018,Roca,"Alejandro Korn",Banfield,-34.743610,-58.395424
11/2018,Roca,"Alejandro Korn","Alejandro Korn",-34.980409,-58.373814
11/2018,Roca,"Alejandro Korn",Adrogué,-34.797848,-58.394273
11/2018,Mitre,Zarate,Zarate,-34.097905,-59.037828
11/2018,Mitre,Zarate,"Villa Ballester",-34.550972,-58.556044
11/2018,Mitre,Zarate,"Rio Lujan",-34.278036,-58.890318
11/2018,Mitre,Zarate,Pacheco,-34.455833,-58.620116
11/2018,Mitre,Zarate,Otamendi,-34.222206,-58.896551
11/2018,Mitre,Zarate,Maschwitz,-34.383021,-58.736269
11/2018,Mitre,Zarate,"Kilometro 83",-34.160627,-58.978608
11/2018,Mitre,Zarate,"J.L. Suárez",-34.534112,-58.576623
11/2018,Mitre,Zarate,Escobar,-34.349423,-58.795357
11/2018,Mitre,Zarate,Campana,-34.156582,-58.961003
11/2018,Mitre,Zarate,Benavidez,-34.409170,-58.684761
11/2018,Mitre,Zarate,Bancalari,-34.479665,-58.602929
11/2018,Mitre,Tigre,Virreyes,-34.450682,-58.550700
11/2018,Mitre,Tigre,Victoria,-34.456153,-58.541128
11/2018,Mitre,Tigre,"Vicente López",-34.524723,-58.472806
11/2018,Mitre,Tigre,Tigre,-34.423567,-58.581728
11/2018,Mitre,Tigre,"San Isidro C",-34.472207,-58.513383
11/2018,Mitre,Tigre,"San Fernando C",-34.444338,-58.558740
11/2018,Mitre,Tigre,Rivadavia,-34.536520,-58.468032
11/2018,Mitre,Tigre,Retiro,-34.590703,-58.374880
11/2018,Mitre,Tigre,Olivos,-34.507713,-58.480663
11/2018,Mitre,Tigre,Nuñez,-34.547833,-58.463149
11/2018,Mitre,Tigre,Martínez,-34.488534,-58.496580
11/2018,Mitre,Tigre,"La Lucila",-34.497597,-58.488446
11/2018,Mitre,Tigre,Carupá,-34.436917,-58.568231
11/2018,Mitre,Tigre,"Belgrano C",-34.558801,-58.448944
11/2018,Mitre,Tigre,Béccar,-34.460804,-58.526543
11/2018,Mitre,Tigre,Acassuso,-34.480068,-58.503838
11/2018,Mitre,Suárez,"Villa Ballester",-34.551161,-58.555826
11/2018,Mitre,Suárez,"San Martín",-34.573419,-58.531957
11/2018,Mitre,Suárez,"San Andrés",-34.563564,-58.540660
11/2018,Mitre,Suárez,Retiro,-34.590703,-58.374880
11/2018,Mitre,Suárez,Pueyrredón,-34.580496,-58.501898
11/2018,Mitre,Suárez,"Ministro Carranza",-34.575273,-58.433744
11/2018,Mitre,Suárez,Miguelete,-34.581071,-58.517079
11/2018,Mitre,Suárez,Malaver,-34.557372,-58.547932
